group_ID,group
226,Communist Party of Malaysia- Marxist-Leninist
227,Republican Action Force
228,Supporters of Charles Manson
229,Revolutionary Internationalist Solidarity
230,Army for Freeing Scotland
231,Military Liberation Front of Colombia
232,United Freedom Front (UFF)
233,Armed Nucleus for Popular Autonomy
234,Commando 27 September
235,Youth of the Star
236,Justice Commandos for the Armenian Genocide
237,Guerrilla Army of the Poor (EGP)
238,Portuguese Liberation Army
239,League of the 18
240,Polisario Front
241,Coup plotters
242,M-19 (Movement of April 19)
243,Revolutionary Command
244,United Liberation Front for the New Algeria
245,Revolutionary People's Struggle (ELA)
246,Coordination of the United Revolutionary Organization (CORU)
247,Armed Communist Struggle
248,Cuban extremists
249,Armed Communist Formations
250,Portuguese Anti-Communist Movement
251,Continuous Struggle
252,Tigray Peoples Liberation Front (TPLF)
253,Combat Territory Groups
254,Fred Hampton Unit of the People's Forces
255,Save Our Israel Land
256,Muslim Rebels
257,Commando Heinz Neumann
258,Proletarian Resistance Movement
259,Communist Combat Unit
260,Socialist Labor Party of Lebanon
261,Political Military Organization of Paraguay
262,Armed Forces of National Resistance (FARN)
263,Revolutionary Workers Party of Bolivia (PRTB)
264,Italian Social Movement (MSI)
265,Movement of the Revolutionary Left (MIR) (Chile)
266,Roberto Santucho Revolutionary Group
267,Che Guevara Brigade
268,Cypriot
269,Prolitarian Internationalism
270,Anti-Castro Command
271,Brazilian Anti-Communist Alliance (AAB)
272,Union Guerrera Blanca (UGB)
273,Croatian Freedom Fighters
274,Anti-Zionist Commandos
275,Abu Nidal Organization (ANO)
276,Cuban Secret Army
277,Rezi Rezai International Brigades
278,Commandos Against Self Destruction of the Universe
279,Workers Power
280,Communist Fighting Unit
281,Prima Linea
282,African National Congress (South Africa)
283,Independent Armed Revolutionary Commandos (CRIA)
284,May 19 Communist Order
285,Communist Brigade Dante Dimani
286,Waltraud Boock Group
287,November 17 Revolutionary Organization (N17RO)
288,Communists
289,Organization of Anti-Fascist Students
290,Kurdish Democratic Party-Iraq (KDP)
291,Military Council for the True Liberation of Albania
292,AGEL
293,Tribal Battlefront
294,Basque Rectitudes
295,Armed Proletarian Power
296,Lolita Lebron Puerto Rican Liberation Command
297,New Partisans Movement
298,Front for the Liberation of the Enclave of Cabinda (FLEC)
299,Anti-Government Group
300,Arya
301,Revolutionary Workers Party
302,Falangist Security Group
303,New Order
304,Armed Struggle for Communism
305,Communist Brigades
306,Armed Squads for Communism
307,Anti-Abortion extremists
308,African-American extremists
309,Hanafi Muslims
310,Combat Brigades
311,Front For the Liberation of the Azores
312,Somali Guerrillas
313,Marxist-Leninist Armed Propaganda Unit
314,Revolutionary Action
315,Soviet and Cuban-backed rebels/mercenaries
316,Falange
317,Revolutionary Commandos of Solidarity
318,Action Front for the Liberation of the Baltic Countries
319,Committee for the Defense of Italian Workers in France
320,People's Liberation Forces (FPL)
321,Rote Zora
322,Environmental Life Force
323,Fighters for Communism
324,Luis Boitel Commandos
325,28 May Armenian Organization
326,Kentavros
327,Sanidila Secessionist Movement
328,Communist Fighters Group
329,Armed Brigades
330,Gay Liberation Front
331,Communist Progress
332,Solidarist Resistance Movement
333,Pattani United Liberation Organization (PULO)
334,Red Guerrilla
335,Fighting Workers for Communism
336,Armed Communist Nucleus
337,Combatent Communists
338,Communist Fighting Nuclei
339,Armed Radical Groups for Communism
340,Armed Groups for Communism
341,Worker Counterpower
342,Proletarian Patrols
343,Pedro Leon Arboleda (PLA)
344,Armed Proletarian Groups for Communism
345,Vyborg Brigade
346,Avengers of Peiper Group
347,Territorial Communist Units
348,Proletarian Fighting Brigades
349,Union of the People (UDP)
350,Revolutionary Action Front
351,Tonino Micciche Workers Nucleus
352,Organized Proletarian Communists
353,Nucleus of the Armed Struggle
354,Commando Adolph Hitler
355,Universal Liberation Front
356,Young Brigade of Navarro
357,Revolutionary Commandos of the People (CRP)
358,Red Army Faction (RAF)
359,Armed Fighting Nucleus For Communism
360,Armed Struggle for Proletarian Power
361,Armed Communist Commando
362,Fighting Nucleus for Communism
363,Communist Armed Nucleus
364,Universal Proutist Revolutionary Federation
365,Fighting Communist Front
366,Breton Separatists
367,Combat Nucleus of Communist Unity
368,Fighting Proletarian Squads
369,Afar rebels
370,Free Aceh Movement (GAM)
371,Greek National Socialist Organization
372,Delta Group
373,Armed Workers Squads
374,Armed Nucleus of Communist Workers
375,Proletarian Armed Squads
376,Armed Proletarian Patrols
377,Radical Communist Armed Nucleus
378,Armed Commandos in the Fighting Army of Mario Zichieri
379,Guerrillas of Christ the King
380,Confederation of Iranian Students/National Union (CISNU)
381,Armed Fight for Communism
382,Khristos Kasimis
383,Communist Fighting Corunim- Maria Anna Maria
384,"Worker Autonomy, Continuous Struggle"
385,Fanatical Ecologists
386,Popular Revolutionary Movement (Colombia)
387,Fighting Popular Rally
388,PORE
389,Christ Chaos
390,Committee of action against bull fights
391,28th of December Group
392,Armed Revolutionary Groups
393,Arab Revolutionary Army
394,International Communist Brigade
395,Armed Revolutionary Nuclei (NAR)
396,Armed Nuclei for Territorial Counterpower
397,Southern Nucleus of Communist Counterpower
398,Iberian Anarchist Federation
399,Anti Shah of Iran
400,Breton Terrorist
401,Zimbabwe African Nationalist Union (ZANU)
402,Anti-Imperialist Fighters for a Free Palestine
403,Catalan independence group
404,Begumcans Cell
405,Argentine Youths for Sovereignty
406,Revolutionary Workers' Council (Kakurokyo)
407,Popular Revolutionary Bloc (BPR)
408,Revolutionary Communist Party
409,Jewish Committee of Concern
410,Anti-Castro Group
411,Communist Fighters Association
412,Armed Proletarian Squads
413,Anti-Israeli extremists
414,Aryan Brotherhood
415,Autonomous Students
416,Anti-Imperialistic Communist Revolutionaries
417,Communist Fighting Detachments
418,Fuerza Nueva
419,Armed Workers Nuclei
420,Armed Womens Nuclei
421,Armed Proletarian Group
422,Armed Fight for Workers Power
423,Fighting Women
424,Armed Nuclei for Communism
425,Commandos for the Defense of Western Civilization
426,Proletarian Nucleus
427,Marxist Resistance Movement
428,Trinitarians
429,Airport Protesters
430,Column 88
431,Independent Peasants Union
432,Red Tribune
433,Syndicalist Action Groups
434,Front for the National Liberation of Puerto Rico
435,Red Flying Squad
436,Communist Anti-Imperialistic Revolutionaries
437,Abstentionist Brigades
438,Falangist Vanguard
439,Unified Workers Command
440,Chukakuha (Middle Core Faction)
441,Left-Wing Terrorists
442,Armed Proletarian Formations
443,Irian Jaya Rebels
444,Supporters of presidential candidate Belisario Bet
445,Revolutionary Army
446,Anti-Technology extremists
447,Action Group for Communism
448,Front of French National Liberation
449,Zimbabwe African People's Union
450,Revolutionary Anarchist Armed Terrorist Movement
451,Death Squad
452,AFB
453,Anti-Imperialist Students Council
454,Brigadas Rojas
455,Ahmad Jibril
456,Shining Path (SL)
457,Macheteros
458,Khmer Rouge
459,Peruvian Anti-Communist Alliance (AAP)
460,Zimbabwe Guerrillas
461,Mano Blanca
462,Zimbabwe People's Army (ZIPA)
463,Broad Commando of National Liberation
464,Guatemalan Labor Party (PGT)
465,Otpor
466,International Anti-Communist Intelligence Service
467,Right-Wing Group
468,Red Guard
469,Red Resistance Front
470,Idealist Association
471,Secret Anti-Communist Army (ESA)
472,United Popular Action Front (FAPU)
473,National Union for the Total Independence of Angola (UNITA)
474,Proletarian Combatants for Communism
475,Muslims
476,People's Armed Revolutionary Branch
477,New Jewish Defense League
478,Communist Attack Brigades
479,Farabundo Marti National Liberation Front (FMLN)
480,People's Temple
481,Lebanese Free Will Movement
482,Guerrillas
483,International Mercenary Brigade
484,Right Wing Christian extremists
485,ATALA
486,Workers' Self-Defense Movement (MAO)
487,New Armenian Resistance
488,Terrorists
489,Armed Anti-Imperialist Movement
490,Miguel Angel Cabrera Command
491,American Anticommunist Association (AAA)
492,Corsican Nationalists
493,Zimbabwe Patriotic Front
494,Combatant Nucleus for Communism
495,National Defense Youth Corps
496,Combatant Communist Front
497,Basque terrorists
498,Workers' Organization for Communism
499,Spanish Basque Battalion (BBE) (rightist)
500,Politico-Military Revolutionary Command
501,Cambodian National Front for National Salvation
502,People's Army (Myanmar)
503,Shan State Progressive Party
504,People's Army (Nicaragua)
505,Organized Comrads for Communism
506,Naga People
507,Rhodesian guerillas
508,Shia Muslim extremists
509,Guards of the Fighting Proletariat
510,Fighting Communist Unit
511,Armed Action Force (FADA)
512,22-Jan
513,Armed Proletariat Fighting Squad
514,Save Uganda Movement
515,Autonomous Groups
516,Fighters for the Liberation of the Turkish People
517,ROSADO-SOTO Command
518,Abd al-Krim Commandos
519,Fedayeen Khalq (People's Commandos)
520,Communist Party of Thailand
521,Corsican Separatists
522,Communist Territorial Unit
523,Death Squad of Organization Zero (Organizacion Cero)
524,Spanish International Communist Party
525,Anti-Soviet protest group
526,Unk Iranian Guerrillas
527,Patriotic Moroccan Front
528,Subversives
529,Organized Comrades for Feminist Counter-Power
530,Karen National Union
531,Francia
532,Justice Party
533,Wild Cats
534,People's Military Organization (OMP)
535,Mozambique National Resistance Movement (MNR)
536,Turkish Revolutionaries
537,Autonomous Intervention Collective Against the Zionist Presence in France
538,Palestinian Students
539,Dainihon Yokuko Doshikai
540,Thai Communists
541,Eagles of the Palestinian Revolution
542,Fire Group
543,Syrian Social Nationalist Party
544,Black March
545,Policarpa Salauarpieta (Women's Command)
546,Free Lebanon
547,Jewish Combat Organization
548,Extremists
549,Communist Territorial Nuclei
550,Palestine Liberation Front (PLF)
551,Forqan Group
552,Meitei extremists
553,Greek Popular Resistance
554,League of French Fighters Against Jewish Occupation
555,Coordination for Revolutionary Action (CAR)
556,Villagers
557,Proletarian Fighting Patrol
558,Lesotho Liberation Army (LLA)
559,Left-Wing Demonstrators
560,Communist Nuclei of Counter Power
561,Popular Revolutionary Movement (Italy)
562,Left-Wing Guerrillas
563,Territorial Communist Command
564,Hawaiian extremists
565,Territorial Cells for Boycotting the Elections
566,Ecology and Antinuclear Revolutionary Party (CRAE)
567,Anti-Government Guerrillas
568,International Committee Against Nazism
569,Colombians
570,Pan Africanist Congress (PAC)
571,The Jewish Execution with Silence
572,Mizo National Front
573,Territorial Resistance Army
574,Muslim Brotherhood
575,Serbian Nationalists
576,Radicals
577,Republican People's Party
578,Supporter of Bhutto
579,Basque Justice
580,Black Wednesday
581,Arab Separatists
582,Opponents of Regime
583,Unk (men in army uniforms with arms and gas masks)
584,Autonomy-Seeking Arabs
585,Dev Sol
586,Armed Subversives
587,Popular Movement for the Liberation of Cabinda
588,Spanish National Action
589,Support for Refugees (Appui aux Refugies)
590,Arab Liberation Front (ALF)
591,Iraqi Communists
592,July 14 Movement
593,Sharivad 17 Tal-Al-Za'atar(Sept 17 Tal-Al-Za'atar)
594,Fighting Communists
595,Organization of Avenging Palestinian Youth
596,Personnel of the National Information Center
597,Naxalites
598,Tyrolean Defense League
599,Muslim extremists
600,Colombian Guerrillas
601,Autonomous Group for Armed Action
602,Revolutionary Organization of People in Arms (ORPA)
603,Honour of the Police
604,Central American Revolutionary Workers Party (PRTC)
605,People's Liberation Army (India)
606,Ethiopian People's Revolutionary Party
607,Martyrs revenge organization
608,Right Wing Lebanese Militiamen
609,Italian Extreme Nationalist Organization
610,Communist Fighting Front
611,Kurdish Rebels
612,Armed Forces of Popular Resistance (FARP)
613,Pro-Palestinian Group
614,Separatist Arab Guerrillas
615,Revolutionary Road
616,Kurdish Marxist Separatists
617,Patriotic Liberation Front (FPL)
618,Movement of the Revolutionary Left (MIR) (Bolivia)
619,RIF Popular Front
620,Autonomous Anarchist Groups
621,Urban Guerrillas
622,East Side Action Committee
623,Union of the Peoples of the Arabian Peninsula
624,Barzani Guerrillas
625,Mob
626,Spanish Armed Group
627,Ukrainian nationalists
628,Proletarian Division for the Army of Communist Liberation
629,February 28 Popular League (El Salvador)
630,Muslim Liberation Front
631,Anti-Marxist Commando
632,Maoists
633,Counter-revolutionaries
634,The Great Serpent
635,Commando 15th October
636,Communist Hunters Command (CCC)
637,People's Path
638,Unione di u Populu Corsu (UPC)
639,Union Du People Corse
640,French Liberation Front
641,Neo-Fascists
642,Organization for the Liberation of France from Jewish Occupation
643,Party of National Conciliation
644,May 15 Organization for the Liberation of Palestine
645,Sons of the South (Shiite Muslim Group)
646,Black American Moslems
647,Autonomy (Italy)
648,Action Squad
649,Tunisian Armed Resistance
650,Catalonian Resistance
651,Front for the Liberation of Lebanon from Foreigners
652,Peasant Militants
653,Separatists
654,Autonomous Revolutionary Brigade
655,East Timorese extremists
656,Revolutionary Student Brigade
657,Left-Wing Workers
658,Sandinistas
659,15th of September Liberation Legion
660,Qaddafi loyalists
661,National Independent Committee for Political Prisoners and Persecuted and Missing Persons
662,Right-Wing Death Squad
663,Student Revolutionary Front (FER)
664,Proletarian communist commandos
665,Revolutionary Action Groups
666,Afghans
667,Territorial Anti-Fascist Patrols
668,28 February Armed Group
669,Liga Agraria Campesina
670,Fighters of the People
671,Anti-Fascist Territorial Group
672,Action Directe
673,Arab Youth Group (Militant)
674,Mali students
675,Iparretarrak (IK)
676,Khmer Serei Guerrillas
677,Quebec Separatists
678,Iraqi Mujahideen
679,Group Yuri Choukewitch
680,Gunmen
681,Communist Patrols for Counter Power
682,Grupo Estrella
683,Libyan Students
684,Organizacion Democratica Nacionalista (ORDEN)
685,Communist Attack Units
686,Armed People
687,Amal
688,Jamaica Labor Party
689,Right Wing Vigilantes
690,National Liberation Movement Party
691,Territorial Armed Groups for Communism
692,Self-Defense Against All Authority
693,Right-Wing National Youth Front
694,Armed Groups of Organised Proletariat
695,Militant Zionist Resistance Movement
696,Spanish Falange
697,Anti-Communist Commando of the South
698,Red June
699,Kabul Government Agents
700,Popular Forces of April 25
701,Arab Liberation Army
702,Guatemalan Communist Party
703,Right-Wing Militants
704,Commandos
705,Comrades Organized in Partisan Nuclei
706,Joint Palestinian leftist organization
707,Israeli settlers
708,Working People's Alliance (WPA)
709,Jordanian Masses Organization
710,Autonomous Anti-Capitalist Commandos (CAA)
711,Bolivian Socialist Falange
712,Workers of the Company
713,Revolutionary Coordination of the Masses
714,Communist Anti-Nuclear Front
715,Secessionists
716,Al-Da'wah Party
717,Revolutionary Forces for the Liberation of Iraq
718,Organization of Volunteers for the Puerto Rican Revolution
719,Egyptian Revolutionary Organization
720,Guardsmen of Islam
721,Ex-Somoza National Guard
722,Popular Anti-Communist Militias
723,Somoza Sympathizers
724,Anti-Communist Patriotic Front
725,Iraqi extremists
726,Revolutionary Committee for Counter Force
727,Worldwide Organization of Native Taiwanese
728,Somozists
729,Organization for Purging the Majlis (Parliament)
730,Sham 'unite
731,Committee for the Safeguard of the Islamic Revolution
732,Fedayeen
733,People's Revolutionary Union
734,April 6th Liberation Movement
735,Free Revolutionaries Movement-The Giants
736,Patria Nueva (New Country)
737,Malaysian Communist Party
738,Dev Yol
739,Maximiliano Hernandez Martinez Brigade
740,National Liberation Army (El Salvador)
741,Revolutionary Popular Left
742,Armed Group for the Liberation of Guadeloupe (GLAG)
743,Democratic Revolutionary Front (FDR)
744,Bloque Anti-Guerrillero de Oriente (BAGO)
745,Forces of the Struggling Ranks
746,Pro-Iraqi Terrorists
747,Armenian Organization for Armed Struggle
748,Revolutionary Nationalist Movement
749,Abu Hassan
750,Martyr Abu Ja'far Group
751,Rightist supporters of Democratic Alliance
752,Iraqi Strugglers' Movement
753,Gaddafi loyalists
754,Lorenzo Zelaya Revolutionary Front (LZRF)
755,Tyrol Separatists
756,October Third Movement
757,Revolutionary Fighting Group 80
758,Youths
759,International Movement of the Prolitariat
760,Ukrainian Liberation Front
761,Italian Combatents for Alto Adige
762,Extreme Right Commando Brigade
763,Wit Kommando
764,Hatikvah Leumi or National Hope
765,Croatian Liberation Army
766,Oct-80
767,Puerto Rican Armed Resistance
768,Alliance of Revolutionary Cuban Organizations
769,Extortionists
770,Afghan Rebels
771,Guadeloupe Liberation Army
772,Italians Attacking Policies of the Regional  SVP
773,Prisoner's Action Force
774,Territorial Patrols of Anti-Fascist Vigilance
775,Unified Kurdish Socialist Party
776,Somali Salvation Front (SSF)
777,Guadeloupe Separatists
778,Scottish Socialist Republican League
779,Ninth of June Organization
780,MILPAS Contras
781,Political Activists
782,Cinchoneros Popular Liberation Movement
783,Armenian Guerrillas
784,Anti-Immigrant extremists
785,Syrian Terror
786,Arab Revolution/Liberation Vanguard Organization
787,Uganda Freedom Movement (UFM)
788,Vincente Mecha Revolutionary Christians
789,Mexican Students
790,Autonomous Resistance
791,Three Stars Autonomous Commando
792,Revolutionary Communist Youth Brigade (RCYB)
793,Budget for the Popular Prep or Death
794,GP II
795,Martyrs of La Talanguera
796,German Speaking Separatists
797,The Armed Secret Organization
798,Left wing activists
799,Martyr Ali Nasir group
800,Popular Militia (Chile)
801,Syrians
802,P.R.E.
803,Al-Zulfikar
804,The United Southern Front
805,Dissidents linked to Zanga
806,Carlos Echeverria commando group
807,French Basque Nationalists
808,Komando Jihad (Indonesian)
809,Anti-AF
810,Popular Resistance Army (PRA)
811,Insurgents
812,Imperial Iranian Patriotic Organization
813,31 January People's Front (FP-31)
814,Commando Delta
815,Uganda National Liberation Front (UNLF)
816,Extreme Right-wing Socialist Phalange
817,Pessach Group
818,Movement of the Third Reich
819,Grey Wolves
820,Patriotic Union of Kurdistan (PUK)
821,International Proletarian Groups
822,Terra Lliure
823,Right-wing Terrorists
824,Turks
825,People's Brigade For A Healthy Genetic Future
826,Awami League
827,South African Liberation Support Cadre (SALSC)
828,Revolutionary Anti-Capitalist Initiative
829,Kurds
830,Student Front of the People
831,Revolutionary Communist Armed Nuclei
832,Rebels
833,Seaborne Moslem Raiders
834,19th of July Christian Resistance Brigade
835,Kuna Indians
836,Libyan
837,Jewish Defenders
838,Basque Country Autonomous Self-Defense Group
839,People's Liberation Movement
840,Guerrilla Commando of the people
841,Albanian extremists
842,Kamal Udwan Unit of Palestinians
843,Central African National Liberation Movement
844,Workers Brigade for Communism
845,Kurdish guerrillas
846,Anti-Communist Viets Organization
847,Democratic Party
848,"Aghwar ""Fire War"" Group"
849,Basque Separatists
850,Arab Steadfastness Front
851,Blue Archer Group
852,Independent Albanian Movement
853,Azadejan (Liberation)
854,Dissident
855,National Salvation Forces Organization
856,Black Brigade (United States)
857,Thunder of Zion
858,Gang
859,Iranian Revolution Organization
860,Communist Nuclear
861,Orly Organization
862,Marxists
863,Croatians
864,Sikh Extremists
865,Egyptian Islamic Jihad (Al-Jihad)
866,Dark Harvest
867,Nicaraguan Counter Revolutionaries (group unk)
868,Nicaraguans protesting their government
869,Communist Group of Proletarian Internationalism
870,Militant Welsh
871,Welsh nationalists
872,Nicaraguan Democratic Anti-Communist Movement
873,Croatian Revolutionary Cell-Bruno Busic Dept
874,Lebanese Armed Revolutionary Faction (LARF)
875,Survivors of Golfech
876,Extreme Left
877,Bande des Rats (the rat pack) Ukranian Group
878,Mercenaries
879,Contras
880,Revolutionary Armed Forces of Nicaragua (FARN)
881,Iraqi Liberation Army
882,Roque Dalton Commando
883,Front Line Armed Nuclei (FLAN)
884,Pacifist and Ecologist Committee
885,Juan Rayo Guerilla Group
886,MNR of the Left
887,Karen Insurgents
888,Antonia Martinez Student Commandos (AMSC)
889,Death to Kidnappers (MAS)
890,The Eradication of Evil
891,Iconoclastic Nihilists
892,4 August National Organization
893,Congolese Armed Patriotic Group
894,Muslim Commando (Iraqi revolutionary brothers)
895,Village League
896,Rabbi Rahane Group
897,Kurdish Oppositionists
898,Arab Socialist Union Members
899,Al-Aqsa-Group
900,Peykar
901,Lebanese Arab Army
902,Provisional Coordinating Committee for the Defense of Labor
903,Robin Garcia Student Front
904,World Punishment Organization
905,"Anti Somoza Gp, name unk"
906,Free Nasserite Revolutionaries
907,Army of God
908,Tamils
909,Revolutionary Labor Commandos
910,Mozambican Rebels
911,Communist Front for Counterpower
912,Armenian Red Army
913,Supporters of Joshua Nkomo
914,Independent Nasserite Movement
915,Vietnamese Organization to Exterminate Communists and Restore the Nation
916,Movement of Islamic Action of Iraq
917,Polish Revolutionary Home Army
918,League of Communists
919,Black Lebanon
920,Iraqi Democratic Front
921,Akali Dal Party
922,Christian Group for the Respect for Life
923,Hungarian exile
924,Autonomy (Greece)
925,Khomeini loyalists
926,Armed Commandos of Student Self Defense
927,Animal Rights Militia
928,Anti-Nuclear extremists
929,Druzes
930,Sunni Muslim extremists
931,United Jewish Underground
932,Militia Members
933,Autonomy Front
934,Hector Rio De Brigade
935,Jewish Terror
936,Corsican Revolutionary Brigade
937,Lebanese National Resistance Front
938,Civic Guard
939,Armed Struggle Organization
940,Grupo Armado de Liberacion Argentina (GALA)
941,Martyrs of Saad Sayel
942,Posse Comitatus
943,Mon Insurgents
944,Scottish Nationalists
945,Hezbollah
946,People's Revolutionary Organization- Colombia (ORP)
947,All India Sikh Students Federation (AISSF)
948,2 April Group
949,Nicaraguan Democratic Force (FDN)
950,Misurasata Indian Organization
951,Polish
952,Revolutionary Solidarity
953,Ruminahui Front
954,Somali Salvation Democratic Front (SSDF)
955,Democratic Revolutionary Alliance (ARDE)
956,Red Brigades Fighting Communist Party (BR-PCC)
957,Jordanian Revolutionary and Military Committee (MOUAB)
958,Group for Martyred Isam as-Sartawi
959,Caribbean Revolutionary Alliance (ARC)
960,Liberation Front of Southern Sudan
961,Basque guerrillas
962,Northern Epirus Liberation Front (MAVI)
963,Opposition Militants
964,Scottish National Liberation Army
965,"Senki (""Battle Flag"")"
966,Revolutionary Front for National Liberation
967,Nicaraguan  Revolutionary Armed Force
968,Jamaat-al-Fuqra
969,Artigas-Giachino Command
970,Lebanese Resistance Group
